"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U201,U206";"SO-8_3.9x4.9mm_P1.27mm";2;"SN75176";;;
2;"CON202";"NC3MAH_XLR_M";1;"XLR3_M_GROUND";;;
3;"CON101";"TC2050-IDC";1;"10PIN_ISP_AVR";;;
4;"D101";"LED_SMD_0603";1;"LED";;;
5;"CON201";"NC3FAH2_XLR_F";1;"XLR3_F_GROUND";;;
6;"D201";"LED_SMD_0603";1;"LED_TX";;;
7;"D204";"LED_SMD_0603";1;"LED_DMX";;;
8;"D205";"LED_SMD_0603";1;"LED_RX";;;
9;"J102";"BARREL_JACK_CLIFF";1;"Barrel_Jack";;;
10;"U202,U204";"GULLWING_8";2;"6N137";;;
11;"U205";"SIP7";1;"AM2D-0505SZ";;;
12;"L101,L201,L202,L204";"1271.1001";4;"1271.1001";;;
13;"G***";"Shimatta_SolderMask";1;"LOGO";;;
14;"L203";"inductor_1812";1;"18u";;;
15;"U104";"SOIC-28W_8.7x18.7mm_Pitch1.27mm";1;"AS6C6264";;;
16;"U106";"TQFP-44_10x10mm_P0.8mm";1;"ATMEGA8515-16AU";;;
17;"C101,C106,C107,C108,C112,C114,C115,C117,C118,C119,C201,C202,C204,C205,C206,C210,C213,C215,C216";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";19;"100n";;;
18;"C102,C103";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"15p";;;
19;"C104,C105,C111";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100n";;;
20;"C109";"CP_Radial_D4.0mm_P1.50mm";1;"1u";;;
21;"C110";"CP_Radial_D10.0mm_P5.00mm";1;"470u";;;
22;"C113";"CP_Radial_D6.3mm_P2.50mm";1;"100u";;;
23;"C116";"CP_Radial_D5.0mm_P2.00mm";1;"10u";;;
24;"C203,C212,C214";"C_Disc_D7.5mm_W5.0mm_P7.50mm";3;"470p 2kV";;;
25;"C207,C211";"CP_Radial_D5.0mm_P2.00mm";2;"47u";;;
26;"C208,C209";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2u2";;;
27;"D102,D103,D104,D105";"D_SMA_Handsoldering";4;"SS15";;;
28;"D202,D203,D206,D207";"D_MiniMELF";4;"1N4148";;;
29;"F101";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"0.375A";;;
30;"J101";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
31;"JP101";"PinHeader_1x02_P2.54mm_Vertical";1;"programming mode";;;
32;"Q201,Q203";"SOT-23";2;"BC817";;;
33;"Q202";"SOT-23";1;"BC807";;;
34;"R101";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"100";;;
35;"R102";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1M";;;
36;"R103,R104";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"22";;;
37;"R105";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1k5";;;
38;"R106,R210,R219";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"1k";;;
39;"R107,R108,R204,R208";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"10k";;;
40;"R109,R110";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"2k2";;;
41;"R111,R112,R211,R220";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"47k";;;
42;"R201,R214";"R_MiniMELF_MMA-0204";2;"120";;;
43;"R202,R209,R212";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"470";;;
44;"R203,R205";"R_MiniMELF_MMA-0204";2;"1";;;
45;"R206,R215,R216,R217";"R_MiniMELF_MMA-0204";4;"10";;;
46;"R207,R213,R218";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"220";;;
47;"U101";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"74LS573";;;
48;"U102";"SOT-23-6";1;"USBLC6-2SC6";;;
49;"U103";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"USBN9604-28M";;;
50;"U105";"TO-263-2";1;"L7805";;;
51;"U203,U207";"SOT-23_Handsoldering";2;"PESD5V0S2BT";;;
52;"Y101";"Crystal_HC49-U_Vertical";1;"24MHz";;;
53;"REF**";"KiCad-Logo2_8mm_SilkScreen";1;"KiCad-Logo2_8mm_SilkScreen";;;
54;"REF**";"WEEE-Logo_8.4x12mm_SilkScreen";1;"WEEE-Logo_8.4x12mm_SilkScreen";;;
55;"REF**";"ESD-Logo_8.9x8mm_SilkScreen";1;"ESD-Logo_8.9x8mm_SilkScreen";;;
